Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
355,David Quessenberry\QuesDa00,TEN,29,,4,0,1,1,100.0%,1,1.0,1,1,1.0,0.3,0.3,0
356,Andre Roberts\RobeAn00,BUF,31,,3,0,1,1,100.0%,6,6.0,0,6,6.0,0.3,2.0,0
357,Dalton Schultz\SchuDa00,DAL,23,,6,0,1,1,100.0%,6,6.0,0,6,6.0,0.2,1.0,0
358,Darrius Shepherd\ShepDa00,GNB,24,,4,0,2,1,50.0%,1,1.0,0,1,0.5,0.3,0.3,1
359,Anthony Sherman\SherAn00,KAN,31,,6,0,2,1,50.0%,15,15.0,0,15,7.5,0.2,2.5,0
360,Vyncint Smith\SmitVy00,NYJ,23,,2,0,1,1,100.0%,5,5.0,0,5,5.0,0.5,2.5,0
361,Durham Smythe\SmytDu00,MIA,24,TE,5,4,2,1,50.0%,24,24.0,0,24,12.0,0.2,4.8,0
362,Benny Snell\SnelBe00,PIT,21,,6,0,2,1,50.0%,14,14.0,0,14,7.0,0.2,2.3,0
363,Diontae Spencer\SpenDi00,DEN,27,,6,0,1,1,100.0%,8,8.0,0,8,8.0,0.2,1.3,0
364,De'Anthony Thomas\ThomDe05,KAN,26,,5,0,2,1,50.0%,6,6.0,0,6,3.0,0.2,1.2,1
365,Darwin Thompson\ThomDa06,KAN,23,,5,0,1,1,100.0%,3,3.0,0,3,3.0,0.2,0.6,0
366,Levine Toilolo\ToilLe00,SFO,28,,5,0,1,1,100.0%,8,8.0,0,8,8.0,0.2,1.6,0
367,Laquon Treadwell\TreaLa00,MIN,24,,3,0,1,1,100.0%,15,15.0,0,15,15.0,0.3,5.0,0
368,Justin Watson\WatsJu01,TAM,24,,6,0,1,1,100.0%,13,13.0,0,13,13.0,0.2,2.2,0
